id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kelompok_umur,jenis_kelamin,jumlah_kasus,satuan,tahun
194,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0-4,PEREMPUAN,0,ORANG,2019
195,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5-14,LAKI-LAKI,0,ORANG,2019
196,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5-14,PEREMPUAN,0,ORANG,2019
197,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,15-19,LAKI-LAKI,2,ORANG,2019
198,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,15-19,PEREMPUAN,0,ORANG,2019
199,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,20-24,LAKI-LAKI,15,ORANG,2019
200,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,20-24,PEREMPUAN,0,ORANG,2019
201,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,25-49,LAKI-LAKI,14,ORANG,2019
202,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,25-49,PEREMPUAN,5,ORANG,2019
203,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,≥50,LAKI-LAKI,0,ORANG,2019
204,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,≥50,PEREMPUAN,0,ORANG,2019
205,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0-4,LAKI-LAKI,0,ORANG,2019
206,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0-4,PEREMPUAN,0,ORANG,2019
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5-14,LAKI-LAKI,1,ORANG,2019
208,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5-14,PEREMPUAN,0,ORANG,2019
209,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,15-19,LAKI-LAKI,0,ORANG,2019
210,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,15-19,PEREMPUAN,2,ORANG,2019
211,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,20-24,LAKI-LAKI,6,ORANG,2019
212,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,20-24,PEREMPUAN,2,ORANG,2019
213,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,25-49,LAKI-LAKI,9,ORANG,2019
214,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,25-49,PEREMPUAN,3,ORANG,2019
215,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,≥50,LAKI-LAKI,2,ORANG,2019
216,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,≥50,PEREMPUAN,1,ORANG,2019
217,32,JAWA BARAT,3271,KOTA BOGOR,0-4,LAKI-LAKI,6,ORANG,2019
218,32,JAWA BARAT,3271,KOTA BOGOR,0-4,PEREMPUAN,3,ORANG,2019
219,32,JAWA BARAT,3271,KOTA BOGOR,5-14,LAKI-LAKI,1,ORANG,2019
220,32,JAWA BARAT,3271,KOTA BOGOR,5-14,PEREMPUAN,2,ORANG,2019
221,32,JAWA BARAT,3271,KOTA BOGOR,15-19,LAKI-LAKI,5,ORANG,2019
222,32,JAWA BARAT,3271,KOTA BOGOR,15-19,PEREMPUAN,2,ORANG,2019
223,32,JAWA BARAT,3271,KOTA BOGOR,20-24,LAKI-LAKI,58,ORANG,2019
224,32,JAWA BARAT,3271,KOTA BOGOR,20-24,PEREMPUAN,5,ORANG,2019
225,32,JAWA BARAT,3271,KOTA BOGOR,25-49,LAKI-LAKI,254,ORANG,2019
226,32,JAWA BARAT,3271,KOTA BOGOR,25-49,PEREMPUAN,95,ORANG,2019
227,32,JAWA BARAT,3271,KOTA BOGOR,≥50,LAKI-LAKI,7,ORANG,2019
228,32,JAWA BARAT,3271,KOTA BOGOR,≥50,PEREMPUAN,5,ORANG,2019
229,32,JAWA BARAT,3272,KOTA SUKABUMI,0-4,LAKI-LAKI,0,ORANG,2019
230,32,JAWA BARAT,3272,KOTA SUKABUMI,0-4,PEREMPUAN,2,ORANG,2019
231,32,JAWA BARAT,3272,KOTA SUKABUMI,5-14,LAKI-LAKI,1,ORANG,2019
232,32,JAWA BARAT,3272,KOTA SUKABUMI,5-14,PEREMPUAN,1,ORANG,2019
233,32,JAWA BARAT,3272,KOTA SUKABUMI,15-19,LAKI-LAKI,2,ORANG,2019
234,32,JAWA BARAT,3272,KOTA SUKABUMI,15-19,PEREMPUAN,2,ORANG,2019
235,32,JAWA BARAT,3272,KOTA SUKABUMI,20-24,LAKI-LAKI,6,ORANG,2019
236,32,JAWA BARAT,3272,KOTA SUKABUMI,20-24,PEREMPUAN,3,ORANG,2019
237,32,JAWA BARAT,3272,KOTA SUKABUMI,25-49,LAKI-LAKI,20,ORANG,2019
238,32,JAWA BARAT,3272,KOTA SUKABUMI,25-49,PEREMPUAN,17,ORANG,2019
239,32,JAWA BARAT,3272,KOTA SUKABUMI,≥50,LAKI-LAKI,2,ORANG,2019
240,32,JAWA BARAT,3272,KOTA SUKABUMI,≥50,PEREMPUAN,1,ORANG,2019
241,32,JAWA BARAT,3273,KOTA BANDUNG,0-4,LAKI-LAKI,1,ORANG,2019
242,32,JAWA BARAT,3273,KOTA BANDUNG,0-4,PEREMPUAN,2,ORANG,2019
243,32,JAWA BARAT,3273,KOTA BANDUNG,5-14,LAKI-LAKI,1,ORANG,2019
244,32,JAWA BARAT,3273,KOTA BANDUNG,5-14,PEREMPUAN,1,ORANG,2019
245,32,JAWA BARAT,3273,KOTA BANDUNG,15-19,LAKI-LAKI,7,ORANG,2019
246,32,JAWA BARAT,3273,KOTA BANDUNG,15-19,PEREMPUAN,0,ORANG,2019
